PID,NAME,RA,DEC,EPOC
SPLUS,SPLUS-b001,17:51:04.4628,-18:19:32.9579,2000.
SPLUS,SPLUS-b002,17:48:00,-19:43:26.7769,2000.
SPLUS,SPLUS-b003,17:54:00,-19:43:26.7769,2000.
SPLUS,SPLUS-b004,18:00:00,-19:43:26.7769,2000.
SPLUS,SPLUS-b005,17:44:52.437,-21:07:14.4295,2000.
SPLUS,SPLUS-b006,17:50:55.4622,-21:07:14.4295,2000.
SPLUS,SPLUS-b007,17:56:58.4874,-21:07:14.4295,2000.
SPLUS,SPLUS-b008,18:03:01.5126,-21:07:14.4295,2000.
SPLUS,SPLUS-b009,18:09:04.5378,-21:07:14.4295,2000.
SPLUS,SPLUS-b010,17:41:41.6949,-22:30:55.9281,2000.
SPLUS,SPLUS-b011,17:47:47.7966,-22:30:55.9281,2000.
SPLUS,SPLUS-b012,17:53:53.8983,-22:30:55.9281,2000.
SPLUS,SPLUS-b013,18:00:00,-22:30:55.9281,2000.
SPLUS,SPLUS-b014,18:06:06.1017,-22:30:55.9281,2000.
SPLUS,SPLUS-b015,18:12:12.2034,-22:30:55.9281,2000.
SPLUS,SPLUS-b016,18:18:18.3051,-22:30:55.9281,2000.
SPLUS,SPLUS-b017,18:24:24.4068,-22:30:55.9281,2000.
SPLUS,SPLUS-b018,17:38:27.6923,-23:54:31.2991,2000.
SPLUS,SPLUS-b019,17:44:36.9231,-23:54:31.2991,2000.
SPLUS,SPLUS-b020,17:50:46.1538,-23:54:31.2991,2000.
SPLUS,SPLUS-b021,17:56:55.3846,-23:54:31.2991,2000.
SPLUS,SPLUS-b022,18:03:04.6154,-23:54:31.2991,2000.
SPLUS,SPLUS-b023,18:09:13.8462,-23:54:31.2991,2000.
SPLUS,SPLUS-b024,18:15:23.0769,-23:54:31.2991,2000.
SPLUS,SPLUS-b025,18:21:32.3077,-23:54:31.2991,2000.
SPLUS,SPLUS-b026,18:27:41.5385,-23:54:31.2991,2000.
SPLUS,SPLUS-b027,18:33:50.7692,-23:54:31.2991,2000.
SPLUS,SPLUS-b028,17:33:30.3896,-25:18:00.5833,2000.
SPLUS,SPLUS-b029,17:39:44.4156,-25:18:00.5833,2000.
SPLUS,SPLUS-b030,17:45:58.4416,-25:18:00.5833,2000.
SPLUS,SPLUS-b031,17:52:12.4675,-25:18:00.5833,2000.
SPLUS,SPLUS-b032,17:58:26.4935,-25:18:00.5833,2000.
SPLUS,SPLUS-b033,18:04:40.5195,-25:18:00.5833,2000.
SPLUS,SPLUS-b034,18:10:54.5455,-25:18:00.5833,2000.
SPLUS,SPLUS-b035,18:17:08.5714,-25:18:00.5833,2000.
SPLUS,SPLUS-b038,18:35:50.6494,-25:18:00.5833,2000.
SPLUS,SPLUS-b039,18:42:04.6753,-25:18:00.5833,2000.
SPLUS,SPLUS-b040,18:48:18.7013,-25:18:00.5833,2000.
SPLUS,SPLUS-b041,17:28:25.2632,-26:41:22.8923,2000.
SPLUS,SPLUS-b042,17:34:44.2105,-26:41:22.8923,2000.
