PID,NAME,RA,DEC,EPOC
SPLUS,SPLUS-s01s01,21:43:56.2205,-00:00:00,2000.
SPLUS,SPLUS-s01s02,21:49:36.378,-00:00:00,2000.
SPLUS,SPLUS-s01s03,21:55:16.5354,-00:00:00,2000.
SPLUS,SPLUS-s01s04,22:00:56.6929,-00:00:00,2000.
SPLUS,SPLUS-s01s05,22:06:36.8504,-00:00:00,2000.
SPLUS,SPLUS-s01s06,22:12:17.0079,-00:00:00,2000.
SPLUS,SPLUS-s01s07,22:17:57.1654,-00:00:00,2000.
SPLUS,SPLUS-s01s08,22:23:37.3228,-00:00:00,2000.
SPLUS,SPLUS-s01s09,22:29:17.4803,-00:00:00,2000.
SPLUS,SPLUS-s01s10,22:34:57.6378,-00:00:00,2000.
SPLUS,SPLUS-s01s11,22:40:37.7953,-00:00:00,2000.
SPLUS,SPLUS-s01s12,22:46:17.9528,-00:00:00,2000.
SPLUS,SPLUS-s01s13,22:51:58.1102,-00:00:00,2000.
SPLUS,SPLUS-s01s14,22:57:38.2677,-00:00:00,2000.
SPLUS,SPLUS-s01s15,23:03:18.4252,-00:00:00,2000.
SPLUS,SPLUS-s01s16,23:08:58.5827,-00:00:00,2000.
SPLUS,SPLUS-s01s17,23:14:38.7402,-00:00:00,2000.
SPLUS,SPLUS-s01s18,23:20:18.8976,-00:00:00,2000.
SPLUS,SPLUS-s01s19,23:25:59.0551,-00:00:00,2000.
SPLUS,SPLUS-s01s20,23:31:39.2126,-00:00:00,2000.
SPLUS,SPLUS-s01s21,23:37:19.3701,-00:00:00,2000.
SPLUS,SPLUS-s01s22,23:42:59.5276,-00:00:00,2000.
SPLUS,SPLUS-s01s23,23:48:39.685,-00:00:00,2000.
SPLUS,SPLUS-s01s24,23:54:19.8425,-00:00:00,2000.
SPLUS,SPLUS-s02s01,21:43:56.2205,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s02,21:49:36.378,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s03,21:55:16.5354,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s04,22:00:56.6929,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s05,22:06:36.8504,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s06,22:12:17.0079,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s07,22:17:57.1654,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s08,22:23:37.3228,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s09,22:29:17.4803,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s10,22:34:57.6378,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s11,22:40:37.7953,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s12,22:46:17.9528,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s13,22:51:58.1102,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s14,22:57:38.2677,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s15,23:03:18.4252,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s16,23:08:58.5827,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s17,23:14:38.7402,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s18,23:20:18.8976,-01:25:09.1483,2000.
SPLUS,SPLUS-s02s19,23:25:59.0551,-01:25:09.1483,2000.
